#SUBMITTED ID	FBID_KEY	ANNOTATION_SYMBOL	FEATURE_TYPE	GENE_MODEL_STATUS	GENUS	GO_BIOLOGICAL_PROCESS	GO_MOLECULAR_FUNCTION	NAME	SPECIES	SYMBOL
FBgn0014949	FBgn0014949	CG5264	SO0000010:protein_coding_gene	Current	Drosophila	positive regulation of transcription by RNA polymerase II ; GO:0045944 | inferred from biological aspect of ancestor with PANTHER:PTN001216052	sequence-specific DNA binding ; GO:0043565 | inferred from electronic annotation with InterPro:IPR017970	buttonless	melanogaster	btn
FBgn0003267	FBgn0003267	CG6348	SO0000010:protein_coding_gene	Current	Drosophila	R2/R5 cell differentiation ; GO:0048054 | inferred from mutant phenotype <newline> positive regulation of transcription by RNA polymerase II ; GO:0045944 | inferred from mutant phenotype <newline> R2/R5 cell fate commitment ; GO:0007463 | inferred from mutant phenotype <newline> establishment of ommatidial planar polarity ; GO:0042067 | inferred from mutant phenotype	sequence-specific DNA binding ; GO:0043565 | inferred from electronic annotation with InterPro:IPR017970 <newline> RNA polymerase II regulatory region DNA binding ; GO:0001012 | inferred from direct assay	rough	melanogaster	ro
FBgn0000061	FBgn0000061	CG3935	SO0000010:protein_coding_gene	Current	Drosophila	chaeta development ; GO:0022416 | inferred from mutant phenotype <newline> imaginal disc-derived leg morphogenesis ; GO:0007480 | inferred from mutant phenotype <newline> negative regulation of transcription, DNA-templated ; GO:0045892 | inferred from mutant phenotype <newline> leg disc development ; GO:0035218 | inferred from mutant phenotype <newline> antennal morphogenesis ; GO:0048800 | inferred from mutant phenotype <newline> elongation of arista core ; GO:0035015 | inferred from mutant phenotype	DNA-binding transcription factor activity, RNA polymerase II-specific ; GO:0000981 | inferred from biological aspect of ancestor with PANTHER:PTN002518769 <newline> RNA polymerase II regulatory region sequence-specific DNA binding ; GO:0000977 | inferred from biological aspect of ancestor with PANTHER:PTN002518769 <newline> sequence-specific DNA binding ; GO:0043565 | contributes_to inferred from direct assay inferred from physical interaction with C15	aristaless	melanogaster	al
FBgn0030058	FBgn0030058	CG11294	SO0000010:protein_coding_gene	Current	Drosophila	regulation of transcription, DNA-templated ; GO:0006355 | inferred from electronic annotation with InterPro:IPR017970	DNA-binding transcription factor activity, RNA polymerase II-specific ; GO:0000981 | inferred from biological aspect of ancestor with PANTHER:PTN002518769 <newline> RNA polymerase II regulatory region sequence-specific DNA binding ; GO:0000977 | inferred from biological aspect of ancestor with PANTHER:PTN002518769	-	melanogaster	CG11294
FBgn0052532	FBgn0052532	CG32532	SO0000010:protein_coding_gene	Current	Drosophila	regulation of transcription, DNA-templated ; GO:0006355 | inferred from electronic annotation with InterPro:IPR017970	RNA polymerase II regulatory region sequence-specific DNA binding ; GO:0000977 | inferred from biological aspect of ancestor with PANTHER:PTN002518769 <newline> DNA-binding transcription factor activity, RNA polymerase II-specific ; GO:0000981 | inferred from biological aspect of ancestor with PANTHER:PTN002518769	-	melanogaster	CG32532
FBgn0085369	FBgn0085369	CG34340	SO0000010:protein_coding_gene	Current	Drosophila	regulation of transcription, DNA-templated ; GO:0006355 | inferred from electronic annotation with InterPro:IPR017970	DNA-binding transcription factor activity, RNA polymerase II-specific ; GO:0000981 | inferred from biological aspect of ancestor with PANTHER:PTN002518769 <newline> RNA polymerase II regulatory region sequence-specific DNA binding ; GO:0000977 | inferred from biological aspect of ancestor with PANTHER:PTN002518769	Dorsal root ganglia homeobox	melanogaster	Drgx
FBgn0085396	FBgn0085396	CG34367	SO0000010:protein_coding_gene	Current	Drosophila	regulation of transcription, DNA-templated ; GO:0006355 | inferred from electronic annotation with InterPro:IPR017970	sequence-specific DNA binding ; GO:0043565 | inferred from electronic annotation with InterPro:IPR017970	-	melanogaster	CG34367
FBgn0034821	FBgn0034821	CG9876	SO0000010:protein_coding_gene	Current	Drosophila	regulation of transcription, DNA-templated ; GO:0006355 | inferred from electronic annotation with InterPro:IPR017970	DNA-binding transcription factor activity, RNA polymerase II-specific ; GO:0000981 | inferred from biological aspect of ancestor with PANTHER:PTN002518769 <newline> RNA polymerase II regulatory region sequence-specific DNA binding ; GO:0000977 | inferred from biological aspect of ancestor with PANTHER:PTN002518769	-	melanogaster	CG9876
FBgn0010323	FBgn0010323	CG2851	SO0000010:protein_coding_gene	Current	Drosophila	regulation of transcription, DNA-templated ; GO:0006355 | inferred from electronic annotation with InterPro:IPR017970 <newline> negative regulation of transcription, DNA-templated ; GO:0045892 | non-traceable author statement	RNA polymerase II regulatory region sequence-specific DNA binding ; GO:0000977 | inferred from biological aspect of ancestor with PANTHER:PTN002518769 <newline> DNA-binding transcription repressor activity, RNA polymerase II-specific ; GO:0001227 | inferred from direct assay <newline> protein homodimerization activity ; GO:0042803 | inferred from physical interaction with Gsc <newline> protein heterodimerization activity ; GO:0046982 | inferred from physical interaction with oc <newline> DNA-binding transcription factor activity, RNA polymerase II-specific ; GO:0000981 | inferred from biological aspect of ancestor with PANTHER:PTN002518769	Goosecoid	melanogaster	Gsc
FBgn0008636	FBgn0008636	CG33152	SO0000010:protein_coding_gene	Current	Drosophila	regulation of transcription, DNA-templated ; GO:0006355 | inferred from electronic annotation with InterPro:IPR017970	DNA-binding transcription factor activity, RNA polymerase II-specific ; GO:0000981 | inferred from biological aspect of ancestor with PANTHER:PTN002518769 <newline> RNA polymerase II regulatory region sequence-specific DNA binding ; GO:0000977 | inferred from biological aspect of ancestor with PANTHER:PTN002518769	homeobrain	melanogaster	hbn
FBgn0004102	FBgn0004102	CG12154	SO0000010:protein_coding_gene	Current	Drosophila	embryonic development via the syncytial blastoderm ; GO:0001700 | inferred from mutant phenotype <newline> nervous system development ; GO:0007399 | traceable author statement <newline> ventral cord development ; GO:0007419 | inferred from mutant phenotype <newline> positive regulation of gene expression ; GO:0010628 | inferred from mutant phenotype <newline> photoreceptor cell fate commitment ; GO:0046552 | inferred from mutant phenotype <newline> adult walking behavior ; GO:0007628 | traceable author statement <newline> ocellus morphogenesis ; GO:0048816 | non-traceable author statement <newline> ocellus development ; GO:0008056 | inferred from genetic interaction with toy <newline> anterior region determination ; GO:0007355 | traceable author statement <newline> compound eye photoreceptor development ; GO:0042051 | traceable author statement <newline> brain development ; GO:0007420 | non-traceable author statement <newline> compound eye morphogenesis ; GO:0001745 | inferred from mutant phenotype <newline> negative regulation of rhodopsin gene expression ; GO:0045871 | inferred from mutant phenotype <newline> pattern specification process ; GO:0007389 | non-traceable author statement <newline> positive regulation of compound eye photoreceptor development ; GO:0045315 | inferred from mutant phenotype <newline> positive regulation of transcription by RNA polymerase II ; GO:0045944 | inferred from direct assay <newline> compound eye photoreceptor development ; GO:0042051 | inferred from mutant phenotype <newline> anterior head segmentation ; GO:0035288 | traceable author statement <newline> brain segmentation ; GO:0035284 | inferred from mutant phenotype <newline> brain development ; GO:0007420 | inferred from mutant phenotype <newline> rhabdomere development ; GO:0042052 | inferred from mutant phenotype <newline> rhabdomere morphogenesis ; GO:0061541 | inferred from mutant phenotype <newline> central nervous system development ; GO:0007417 | inferred from mutant phenotype <newline> ocellus photoreceptor cell development ; GO:0042463 | inferred from genetic interaction with Pph13 <newline> negative regulation of transcription by RNA polymerase II ; GO:0000122 | inferred from mutant phenotype <newline> positive regulation of rhodopsin gene expression ; GO:0045872 | inferred from mutant phenotype	sequence-specific DNA binding ; GO:0043565 | inferred from electronic annotation with InterPro:IPR017970 <newline> protein heterodimerization activity ; GO:0046982 | inferred from physical interaction with Gsc <newline> protein homodimerization activity ; GO:0042803 | inferred from physical interaction with oc <newline> DNA-binding transcription activator activity, RNA polymerase II-specific ; GO:0001228 | inferred from direct assay	ocelliless	melanogaster	oc
FBgn0026058	FBgn0026058	CG6352	SO0000010:protein_coding_gene	Current	Drosophila	regulation of transcription, DNA-templated ; GO:0006355 | inferred from electronic annotation with InterPro:IPR017970 <newline> multicellular organism reproduction ; GO:0032504 | inferred from high throughput expression pattern	sequence-specific DNA binding ; GO:0043565 | inferred from electronic annotation with InterPro:IPR017970	Ods-site homeobox	melanogaster	OdsH
FBgn0015524	FBgn0015524	CG10036	SO0000010:protein_coding_gene	Current	Drosophila	regulation of transcription, DNA-templated ; GO:0006355 | inferred from electronic annotation with InterPro:IPR017970	sequence-specific DNA binding ; GO:0043565 | inferred from electronic annotation with InterPro:IPR017970 <newline> DNA binding ; GO:0003677 | inferred from direct assay	orthopedia	melanogaster	otp
FBgn0025334	FBgn0025334	CG11182	SO0000010:protein_coding_gene	Current	Drosophila	regulation of transcription, DNA-templated ; GO:0006355 | inferred from electronic annotation with InterPro:IPR017970	RNA polymerase II regulatory region sequence-specific DNA binding ; GO:0000977 | inferred from biological aspect of ancestor with PANTHER:PTN002518769 <newline> DNA-binding transcription factor activity, RNA polymerase II-specific ; GO:0000981 | inferred from biological aspect of ancestor with PANTHER:PTN002518769	Putative homeodomain protein	melanogaster	PHDP
FBgn0023489	FBgn0023489	CG2819	SO0000010:protein_coding_gene	Current	Drosophila	rhabdomere development ; GO:0042052 | inferred from mutant phenotype <newline> ocellus photoreceptor cell development ; GO:0042463 | inferred from genetic interaction with oc <newline> positive regulation of transcription by RNA polymerase II ; GO:0045944 | inferred from direct assay <newline> compound eye photoreceptor development ; GO:0042051 | inferred from mutant phenotype <newline> photoreceptor cell development ; GO:0042461 | inferred from mutant phenotype <newline> positive regulation of transcription, DNA-templated ; GO:0045893 | inferred from direct assay <newline> regulation of rhodopsin gene expression ; GO:0007468 | inferred from mutant phenotype	protein homodimerization activity ; GO:0042803 | inferred from direct assay <newline> RNA polymerase II regulatory region sequence-specific DNA binding ; GO:0000977 | inferred from biological aspect of ancestor with PANTHER:PTN002518769 <newline> RNA polymerase II regulatory region sequence-specific DNA binding ; GO:0000977 | inferred from direct assay <newline> DNA-binding transcription factor activity, RNA polymerase II-specific ; GO:0000981 | inferred from biological aspect of ancestor with PANTHER:PTN002518769 <newline> DNA-binding transcription activator activity, RNA polymerase II-specific ; GO:0001228 | inferred from direct assay	PvuII-PstI homology 13	melanogaster	Pph13
FBgn0020912	FBgn0020912	CG1447	SO0000010:protein_coding_gene	Current	Drosophila	anatomical structure morphogenesis ; GO:0009653 | inferred from biological aspect of ancestor with PANTHER:PTN001551528 <newline> regulation of transcription by RNA polymerase II ; GO:0006357 | inferred from sequence or structural similarity with MGI:MGI:109340	RNA polymerase II transcription factor binding ; GO:0001085 | inferred from biological aspect of ancestor with PANTHER:PTN001551528 <newline> DNA-binding transcription factor activity ; GO:0003700 | inferred from sequence or structural similarity with MGI:MGI:109340 <newline> sequence-specific DNA binding ; GO:0043565 | inferred from biological aspect of ancestor with PANTHER:PTN001551528 <newline> RNA polymerase II proximal promoter sequence-specific DNA binding ; GO:0000978 | inferred from biological aspect of ancestor with PANTHER:PTN001551528 <newline> sequence-specific DNA binding ; GO:0043565 | inferred from sequence or structural similarity with MGI:MGI:109340	Ptx1	melanogaster	Ptx1
FBgn0011701	FBgn0011701	CG31240	SO0000010:protein_coding_gene	Current	Drosophila	regulation of transcription, DNA-templated ; GO:0006355 | inferred from electronic annotation with InterPro:IPR017970 <newline> nervous system development ; GO:0007399 | inferred from mutant phenotype <newline> synapse organization ; GO:0050808 | inferred from mutant phenotype <newline> glial cell differentiation ; GO:0010001 | non-traceable author statement <newline> regulation of phagocytosis ; GO:0050764 | inferred from mutant phenotype inferred from genetic interaction with drpr inferred from genetic interaction with NimC4 <newline> positive regulation of gene expression ; GO:0010628 | inferred from direct assay <newline> glial cell development ; GO:0021782 | inferred from mutant phenotype <newline> peripheral nervous system development ; GO:0007422 | inferred from mutant phenotype <newline> synaptic growth at neuromuscular junction ; GO:0051124 | inferred from mutant phenotype	DNA-binding transcription activator activity, RNA polymerase II-specific ; GO:0001228 | inferred from direct assay <newline> DNA-binding transcription factor activity, RNA polymerase II-specific ; GO:0000981 | inferred from biological aspect of ancestor with PANTHER:PTN002518769 <newline> RNA polymerase II regulatory region sequence-specific DNA binding ; GO:0000977 | inferred from biological aspect of ancestor with PANTHER:PTN002518769 <newline> RNA polymerase II regulatory region sequence-specific DNA binding ; GO:0000977 | inferred from direct assay	reversed polarity	melanogaster	repo
FBgn0020617	FBgn0020617	CG10052	SO0000010:protein_coding_gene	Current	Drosophila	transcription by RNA polymerase II ; GO:0006366 | inferred from electronic annotation with InterPro:IPR032967 <newline> regulation of transcription, DNA-templated ; GO:0006355 | inferred from electronic annotation with InterPro:IPR017970	RNA polymerase II regulatory region sequence-specific DNA binding ; GO:0000977 | inferred from biological aspect of ancestor with PANTHER:PTN002518769 <newline> DNA-binding transcription factor activity, RNA polymerase II-specific ; GO:0000981 | inferred from biological aspect of ancestor with PANTHER:PTN002518769	Retinal Homeobox	melanogaster	Rx
FBgn0024184	FBgn0024184	CG6269	SO0000010:protein_coding_gene	Current	Drosophila	regulation of transcription, DNA-templated ; GO:0006355 | inferred from electronic annotation with InterPro:IPR017970	sequence-specific DNA binding ; GO:0043565 | inferred from electronic annotation with InterPro:IPR017970	unc-4	melanogaster	unc-4
FBgn0263511	FBgn0263511	CG4136	SO0000010:protein_coding_gene	Current	Drosophila	negative regulation of transcription by RNA polymerase II ; GO:0000122 | inferred from sequence or structural similarity with HGNC:1975 <newline> optic lobe placode development ; GO:0001748 | inferred from mutant phenotype <newline> positive regulation of neural precursor cell proliferation ; GO:2000179 | inferred from mutant phenotype	sequence-specific DNA binding ; GO:0043565 | inferred from electronic annotation with InterPro:IPR017970 <newline> DNA-binding transcription factor activity ; GO:0003700 | inferred from sequence or structural similarity with HGNC:1975	Visual system homeobox 1	melanogaster	Vsx1
FBgn0263512	FBgn0263512	CG33980	SO0000010:protein_coding_gene	Current	Drosophila	negative regulation of transcription by RNA polymerase II ; GO:0000122 | inferred from sequence or structural similarity with HGNC:1975 <newline> optic lobe placode development ; GO:0001748 | inferred from expression pattern	sequence-specific DNA binding ; GO:0043565 | inferred from electronic annotation with InterPro:IPR017970 <newline> DNA-binding transcription factor activity ; GO:0003700 | inferred from sequence or structural similarity with HGNC:1975	Visual system homeobox 2	melanogaster	Vsx2
FBgn0004595	FBgn0004595	CG17228	SO0000010:protein_coding_gene	Current	Drosophila	glial cell differentiation ; GO:0010001 | inferred from mutant phenotype <newline> cell fate commitment ; GO:0045165 | inferred from mutant phenotype <newline> dendrite morphogenesis ; GO:0048813 | inferred from mutant phenotype <newline> axonogenesis ; GO:0007409 | inferred from mutant phenotype <newline> eye photoreceptor cell differentiation ; GO:0001754 | traceable author statement <newline> peripheral nervous system development ; GO:0007422 | traceable author statement <newline> neuroblast fate determination ; GO:0007400 | traceable author statement <newline> regulation of R7 cell differentiation ; GO:0045676 | inferred from mutant phenotype inferred from genetic interaction with sv <newline> compound eye cone cell fate commitment ; GO:0042676 | traceable author statement <newline> negative regulation of cell population proliferation ; GO:0008285 | inferred from mutant phenotype <newline> brain development ; GO:0007420 | inferred from mutant phenotype <newline> positive regulation of transcription by RNA polymerase II ; GO:0045944 | inferred from biological aspect of ancestor with PANTHER:PTN000258074 <newline> regulation of protein localization to nucleus ; GO:1900180 | inferred from mutant phenotype <newline> regulation of neuroblast proliferation ; GO:1902692 | inferred from genetic interaction with UniProtKB:Q9VQ56 <newline> central nervous system development ; GO:0007417 | inferred from mutant phenotype <newline> asymmetric neuroblast division resulting in ganglion mother cell formation ; GO:0055060 | inferred from mutant phenotype <newline> dendrite guidance ; GO:0070983 | inferred from mutant phenotype <newline> central nervous system development ; GO:0007417 | traceable author statement <newline> negative regulation of transcription by RNA polymerase II ; GO:0000122 | inferred from mutant phenotype <newline> synapse assembly ; GO:0007416 | inferred from mutant phenotype <newline> negative regulation of gene expression ; GO:0010629 | inferred from mutant phenotype <newline> cell dedifferentiation ; GO:0043697 | inferred from genetic interaction with UniProtKB:P51023 inferred from genetic interaction with UniProtKB:Q9VQ56 <newline> R7 cell fate commitment ; GO:0007465 | inferred from mutant phenotype <newline> regulation of gene expression ; GO:0010468 | inferred from mutant phenotype <newline> positive regulation of transcription by RNA polymerase II ; GO:0045944 | inferred from direct assay <newline> axon guidance ; GO:0007411 | inferred from mutant phenotype <newline> regulation of DNA-binding transcription factor activity ; GO:0051090 | inferred from direct assay <newline> ganglion mother cell fate determination ; GO:0007402 | inferred from mutant phenotype <newline> negative regulation of axonogenesis ; GO:0050771 | inferred from mutant phenotype <newline> ganglion mother cell fate determination ; GO:0007402 | traceable author statement <newline> regulation of transcription, DNA-templated ; GO:0006355 | traceable author statement <newline> axon development ; GO:0061564 | inferred from mutant phenotype <newline> G1 to G0 transition ; GO:0070314 | inferred from mutant phenotype <newline> positive regulation of gene expression ; GO:0010628 | inferred from mutant phenotype <newline> positive regulation of neuroblast proliferation ; GO:0002052 | inferred from genetic interaction with UniProtKB:Q26263 <newline> regulation of neuroblast proliferation ; GO:1902692 | inferred from genetic interaction with UniProtKB:P51023 <newline> nervous system development ; GO:0007399 | inferred from mutant phenotype <newline> male courtship behavior ; GO:0008049 | inferred from mutant phenotype <newline> sensory organ development ; GO:0007423 | traceable author statement <newline> sensory perception of taste ; GO:0050909 | inferred from mutant phenotype <newline> peripheral nervous system development ; GO:0007422 | inferred from mutant phenotype <newline> courtship behavior ; GO:0007619 | traceable author statement <newline> neuroblast proliferation ; GO:0007405 | inferred from mutant phenotype <newline> asymmetric cell division ; GO:0008356 | traceable author statement <newline> axonogenesis involved in innervation ; GO:0060385 | inferred from mutant phenotype <newline> cell fate specification ; GO:0001708 | traceable author statement <newline> neuroblast fate determination ; GO:0007400 | non-traceable author statement <newline> ventral cord development ; GO:0007419 | traceable author statement <newline> neuroblast differentiation ; GO:0014016 | inferred from mutant phenotype <newline> negative regulation of transcription by RNA polymerase II ; GO:0000122 | inferred from biological aspect of ancestor with PANTHER:PTN000258074 <newline> protein localization ; GO:0008104 | inferred from mutant phenotype <newline> regulation of neuron differentiation ; GO:0045664 | inferred from mutant phenotype <newline> asymmetric neuroblast division ; GO:0055059 | inferred from mutant phenotype <newline> R7 cell fate commitment ; GO:0007465 | traceable author statement <newline> regulation of neuron differentiation ; GO:0045664 | inferred from genetic interaction with UniProtKB:P51023 <newline> regulation of retinal cone cell fate specification ; GO:0042673 | inferred from mutant phenotype inferred from genetic interaction with sv <newline> nervous system development ; GO:0007399 | traceable author statement <newline> negative regulation of neuroblast proliferation ; GO:0007406 | inferred from mutant phenotype	DNA binding ; GO:0003677 | inferred from direct assay <newline> DNA-binding transcription factor activity ; GO:0003700 | traceable author statement <newline> DNA-binding transcription factor activity ; GO:0003700 | non-traceable author statement <newline> DNA-binding transcription repressor activity, RNA polymerase II-specific ; GO:0001227 | inferred from mutant phenotype <newline> DNA-binding transcription factor activity ; GO:0003700 | traceable author statement inferred from mutant phenotype <newline> sequence-specific DNA binding ; GO:0043565 | inferred from direct assay	prospero	melanogaster	pros
FBgn0004198	FBgn0004198	CG11387	SO0000010:protein_coding_gene	Current	Drosophila	Golgi vesicle transport ; GO:0048193 | inferred from biological aspect of ancestor with PANTHER:PTN000361901 <newline> negative regulation of transcription by RNA polymerase II ; GO:0000122 | inferred from mutant phenotype <newline> dendrite guidance ; GO:0070983 | inferred from mutant phenotype <newline> antennal development ; GO:0007469 | inferred from expression pattern <newline> antennal development ; GO:0007469 | inferred from mutant phenotype <newline> dendrite morphogenesis ; GO:0048813 | inferred from mutant phenotype <newline> spiracle morphogenesis, open tracheal system ; GO:0035277 | inferred from mutant phenotype <newline> open tracheal system development ; GO:0007424 | traceable author statement <newline> Malpighian tubule morphogenesis ; GO:0007443 | traceable author statement <newline> peripheral nervous system development ; GO:0007422 | traceable author statement <newline> imaginal disc-derived wing margin morphogenesis ; GO:0008587 | inferred from mutant phenotype <newline> ovarian follicle cell stalk formation ; GO:0030713 | traceable author statement <newline> dendrite morphogenesis ; GO:0048813 | inferred from mutant phenotype inferred from genetic interaction with kn <newline> antennal joint development ; GO:0048098 | inferred from mutant phenotype <newline> oogenesis ; GO:0048477 | inferred from mutant phenotype <newline> sensory perception of sound ; GO:0007605 | inferred from mutant phenotype <newline> dendrite morphogenesis ; GO:0048813 | traceable author statement <newline> female gonad development ; GO:0008585 | traceable author statement <newline> regulation of transcription, DNA-templated ; GO:0006355 | inferred from mutant phenotype <newline> central nervous system development ; GO:0007417 | traceable author statement <newline> Malpighian tubule bud morphogenesis ; GO:0061332 | inferred from genetic interaction with Kr <newline> formation of a compartment boundary ; GO:0060288 | inferred from mutant phenotype <newline> negative regulation of transcription by RNA polymerase II ; GO:0000122 | inferred from biological aspect of ancestor with PANTHER:PTN001019067	RNA polymerase II regulatory region sequence-specific DNA binding ; GO:0000977 | inferred from biological aspect of ancestor with PANTHER:PTN001019067 <newline> transcription regulatory region sequence-specific DNA binding ; GO:0000976 | inferred from direct assay <newline> DNA binding ; GO:0003677 | traceable author statement	cut	melanogaster	ct
FBgn0028996	FBgn0028996	CG1922	SO0000010:protein_coding_gene	Current	Drosophila	cell differentiation ; GO:0030154 | inferred from biological aspect of ancestor with PANTHER:PTN001422142 <newline> positive regulation of transcription by RNA polymerase II ; GO:0045944 | inferred from direct assay <newline> positive regulation of transcription by RNA polymerase II ; GO:0045944 | inferred from biological aspect of ancestor with PANTHER:PTN001422142	DNA-binding transcription activator activity, RNA polymerase II-specific ; GO:0001228 | inferred from direct assay <newline> DNA binding ; GO:0003677 | inferred from biological aspect of ancestor with PANTHER:PTN001422142	onecut	melanogaster	onecut
FBgn0020307	FBgn0020307	CG5799	SO0000010:protein_coding_gene	Current	Drosophila	chromatin remodeling ; GO:0006338 | inferred from electronic annotation with InterPro:IPR039673 <newline> regulation of transcription, DNA-templated ; GO:0006355 | traceable author statement <newline> negative regulation of transcription by RNA polymerase II ; GO:0000122 | inferred from expression pattern <newline> negative regulation of transcription by RNA polymerase II ; GO:0000122 | inferred from biological aspect of ancestor with PANTHER:PTN000387730 <newline> reproductive structure development ; GO:0048608 | inferred from mutant phenotype <newline> copper ion import ; GO:0015677 | inferred from mutant phenotype <newline> imaginal disc-derived leg joint morphogenesis ; GO:0016348 | inferred from mutant phenotype <newline> imaginal disc-derived wing morphogenesis ; GO:0007476 | inferred from mutant phenotype <newline> regulation of transcription by RNA polymerase II ; GO:0006357 | inferred from biological aspect of ancestor with PANTHER:PTN000387730 <newline> midgut development ; GO:0007494 | inferred from mutant phenotype <newline> regulation of transcription, DNA-templated ; GO:0006355 | inferred from sequence or structural similarity with vvl	DNA-binding transcription factor activity ; GO:0003700 | inferred from sequence or structural similarity with vvl <newline> RNA polymerase II regulatory region sequence-specific DNA binding ; GO:0000977 | inferred from biological aspect of ancestor with PANTHER:PTN000387730 <newline> DNA-binding transcription factor activity ; GO:0003700 | traceable author statement	defective proventriculus	melanogaster	dve
FBgn0005558	FBgn0005558	CG1464	SO0000010:protein_coding_gene	Current	Drosophila	mushroom body development ; GO:0016319 | inferred from expression pattern inferred from mutant phenotype <newline> mushroom body development ; GO:0016319 | inferred from mutant phenotype <newline> compound eye morphogenesis ; GO:0001745 | inferred from mutant phenotype <newline> glucose homeostasis ; GO:0042593 | inferred from mutant phenotype <newline> adult walking behavior ; GO:0007628 | inferred from mutant phenotype <newline> regulation of insulin-like growth factor receptor signaling pathway ; GO:0043567 | inferred from mutant phenotype <newline> positive regulation of transcription, DNA-templated ; GO:0045893 | inferred from direct assay <newline> compound eye development ; GO:0048749 | traceable author statement <newline> compound eye development ; GO:0048749 | inferred from mutant phenotype <newline> eye-antennal disc morphogenesis ; GO:0007455 | traceable author statement <newline> positive regulation of multicellular organism growth ; GO:0040018 | inferred from mutant phenotype <newline> positive regulation of transcription by RNA polymerase II ; GO:0045944 | inferred from direct assay <newline> glial cell migration ; GO:0008347 | inferred from mutant phenotype <newline> neuron differentiation ; GO:0030182 | inferred from mutant phenotype <newline> regulation of transcription by RNA polymerase II ; GO:0006357 | inferred from mutant phenotype <newline> central complex development ; GO:0048036 | inferred from mutant phenotype <newline> photoreceptor cell fate specification ; GO:0043704 | inferred from mutant phenotype <newline> positive regulation of cell growth ; GO:0030307 | inferred from mutant phenotype <newline> brain morphogenesis ; GO:0048854 | inferred from mutant phenotype <newline> positive regulation of cell population proliferation ; GO:0008284 | inferred from mutant phenotype <newline> positive regulation of transcription by RNA polymerase II ; GO:0045944 | inferred from mutant phenotype <newline> brain development ; GO:0007420 | inferred from mutant phenotype	protein binding ; GO:0005515 | inferred from physical interaction with so <newline> RNA polymerase II proximal promoter sequence-specific DNA binding ; GO:0000978 | inferred from direct assay <newline> DNA-binding transcription factor activity, RNA polymerase II-specific ; GO:0000981 | inferred from direct assay <newline> RNA polymerase II regulatory region sequence-specific DNA binding ; GO:0000977 | inferred from mutant phenotype <newline> RNA polymerase II regulatory region sequence-specific DNA binding ; GO:0000977 | inferred from direct assay <newline> protein binding ; GO:0005515 | inferred from physical interaction with UniProtKB:Q9VBW6 inferred from physical interaction with UniProtKB:Q9VBW9 <newline> sequence-specific DNA binding ; GO:0043565 | inferred from mutant phenotype	eyeless	melanogaster	ey
FBgn0019650	FBgn0019650	CG11186	SO0000010:protein_coding_gene	Current	Drosophila	eye-antennal disc development ; GO:0035214 | inferred from mutant phenotype <newline> regulation of transcription by RNA polymerase II ; GO:0006357 | inferred from mutant phenotype <newline> positive regulation of transcription by RNA polymerase II ; GO:0045944 | inferred from direct assay <newline> ocellus development ; GO:0008056 | inferred from mutant phenotype inferred from genetic interaction with oc <newline> positive regulation of gene expression ; GO:0010628 | inferred from mutant phenotype <newline> compound eye development ; GO:0048749 | traceable author statement <newline> mushroom body development ; GO:0016319 | inferred from mutant phenotype <newline> brain morphogenesis ; GO:0048854 | inferred from mutant phenotype	DNA-binding transcription factor activity, RNA polymerase II-specific ; GO:0000981 | inferred from direct assay <newline> RNA polymerase II regulatory region sequence-specific DNA binding ; GO:0000977 | inferred from mutant phenotype	twin of eyeless	melanogaster	toy
FBgn0000625	FBgn0000625	CG10488	SO0000010:protein_coding_gene	Current	Drosophila	compound eye development ; GO:0048749 | inferred from mutant phenotype <newline> compound eye morphogenesis ; GO:0001745 | inferred from mutant phenotype <newline> negative regulation of transcription by RNA polymerase II ; GO:0000122 | inferred from direct assay <newline> eye-antennal disc development ; GO:0035214 | inferred from mutant phenotype <newline> eye development ; GO:0001654 | inferred from mutant phenotype <newline> salivary gland morphogenesis ; GO:0007435 | traceable author statement <newline> antennal development ; GO:0007469 | inferred from mutant phenotype <newline> notum development ; GO:0007477 | inferred from mutant phenotype	RNA polymerase II regulatory region sequence-specific DNA binding ; GO:0000977 | inferred from direct assay <newline> DNA-binding transcription factor activity ; GO:0003700 | non-traceable author statement	eyegone	melanogaster	eyg
FBgn0001148	FBgn0001148	CG3388	SO0000010:protein_coding_gene	Current	Drosophila	regulation of transcription, DNA-templated ; GO:0006355 | inferred from electronic annotation with InterPro:IPR001523, InterPro:IPR017970 <newline> neurogenesis ; GO:0022008 | inferred from mutant phenotype inferred from genetic interaction with gsb-n <newline> salivary gland morphogenesis ; GO:0007435 | inferred from mutant phenotype <newline> segment polarity determination ; GO:0007367 | non-traceable author statement <newline> segment polarity determination ; GO:0007367 | inferred from genetic interaction with gsb-n <newline> regulation of synaptic activity ; GO:0060025 | inferred from direct assay <newline> ventral cord development ; GO:0007419 | traceable author statement <newline> chemical synaptic transmission ; GO:0007268 | inferred from direct assay	RNA polymerase II regulatory region sequence-specific DNA binding ; GO:0000977 | inferred from direct assay	gooseberry	melanogaster	gsb
